,x,y
290,7,11
291,7,11
292,34,11
293,34,11
294,0,67
295,16,32
296,16,32
297,34,11
298,63,78
299,40,41
300,77,72
301,71,59
302,0,67
303,72,77
304,4,91
305,50,90
306,71,59
307,33,21
308,34,11
309,77,72
310,63,78
311,34,11
312,5,58
313,0,67
314,0,67
315,50,90
316,5,58
317,60,46
318,0,67
319,50,60
320,34,11
321,72,77
322,72,77
323,60,46
324,0,67
325,71,59
326,50,60
327,0,67
328,50,60
329,50,90
330,0,67
331,60,46
332,50,60
333,0,67
334,34,11
335,16,87
336,0,67
337,0,67
338,0,67
339,34,11
340,7,11
341,34,11
342,7,11
343,49,39
344,34,11
345,50,90
346,50,60
347,16,32
348,0,67
349,63,78
350,72,77
351,7,11
352,60,46
353,0,67
354,33,21
355,34,11
356,50,90
357,72,77
358,71,59
359,63,78
360,33,21
361,34,11
362,34,11
363,7,11
364,16,32
365,0,67
366,7,11
367,77,72
368,7,11
369,16,32
370,40,41
371,50,60
372,72,77
373,63,78
374,77,72
375,14,97
376,50,60
377,71,59
378,14,97
379,34,11
380,0,67
381,72,77
382,72,77
383,71,59
384,0,67
385,16,32
386,0,67
387,77,72
388,34,11
389,16,87
390,63,78
391,63,78
392,72,77
393,0,67
394,50,90
395,50,90
396,63,78
397,34,11
398,34,11
399,34,11
400,72,77
401,34,11
402,16,87
403,0,67
404,50,60
405,7,11
406,14,97
407,7,11
408,14,97
409,0,67
410,50,60
411,7,11
412,71,59
413,50,60
414,34,11
415,0,67
416,63,78
417,71,59
418,7,11
419,7,11
420,34,11
421,7,11
422,7,11
423,0,67
424,50,90
425,0,67
426,0,67
427,50,90
428,0,67
429,63,78
430,16,32
431,4,91
432,72,77
433,34,11
434,50,60
435,34,11
436,7,11
437,71,59
438,7,11
439,7,11
440,33,21
441,14,97
442,77,72
443,50,90
444,34,11
445,63,78
446,72,77
447,71,59
448,60,46
449,34,11
450,34,11
451,7,11
452,34,11
453,7,11
454,34,11
455,63,78
456,40,41
457,67,15
458,40,41
459,16,32
460,63,78
461,7,11
462,63,78
463,7,11
464,47,91
465,0,67
466,71,59
467,77,72
468,71,59
469,34,11
470,60,46
471,60,46
472,16,32
473,0,67
474,34,11
475,0,67
476,0,67
477,0,67
478,7,11
479,34,11
480,71,59
481,63,78
482,16,87
483,7,11
484,7,11
485,14,97
486,7,11
487,5,58
488,72,77
489,71,59
490,0,67
491,50,60
492,50,90
493,7,11
494,0,67
495,63,78
496,0,67
497,63,78
498,47,91
499,7,11
500,50,60
501,77,72
502,50,90
503,5,58
504,7,11
505,63,78
506,50,60
507,7,11
508,0,67
509,0,67
510,34,11
511,33,21
512,71,59
513,16,32
514,60,46
515,63,78
516,14,97
517,34,11
518,5,58
519,50,90
520,0,67
521,50,60
522,50,90
523,7,11
524,0,67
525,71,59
526,0,67
527,16,32
528,60,46
529,77,72
530,50,60
531,7,11
532,50,90
533,0,67
534,72,77
535,72,77
536,50,90
537,0,67
538,0,67
539,50,90
540,80,31
541,50,60
542,50,60
543,50,90
544,0,67
545,0,67
546,50,90
547,34,11
548,50,90
549,47,91
550,50,60
551,0,67
552,7,11
553,7,11
554,7,11
555,0,67
556,7,11
557,34,11
558,50,90
559,7,11
560,7,11
561,50,60
562,63,78
563,0,67
564,34,11
565,7,11
566,7,11
567,50,60
568,77,72
569,34,11
570,33,21
571,0,67
572,50,90
573,50,60
574,72,77
575,34,11
576,0,67
577,16,87
578,7,11
579,0,67
580,7,11
581,60,46
582,50,90
583,60,46
584,0,67
585,7,11
586,50,90
587,7,11
588,34,11
589,50,60
590,0,67
591,50,60
592,0,67
593,0,67
594,16,87
595,0,67
596,77,72
597,34,11
598,50,60
599,63,78
600,33,21
601,0,67
602,71,59
603,77,72
604,0,67
605,71,59
606,7,11
607,71,59
608,0,67
609,60,46
610,50,90
611,14,97
612,14,97
613,14,97
614,77,72
615,0,67
616,0,67
617,72,77
618,50,90
619,62,78
620,0,67
621,72,77
622,7,11
623,71,59
624,71,59
625,77,72
626,50,60
627,60,46
628,14,97
629,63,78
630,62,78
631,71,59
632,50,60
633,63,78
634,60,46
635,0,67
636,0,67
637,50,90
638,71,59
639,7,11
640,16,87
641,34,11
642,0,67
643,72,77
644,0,67
645,16,32
646,7,11
647,5,58
648,34,11
649,0,67
650,16,87
651,71,59
652,7,11
653,33,21
654,7,11
655,50,60
656,63,78
657,16,87
658,72,77
659,0,67
660,7,11
661,50,60
662,72,77
663,7,11
664,7,11
665,16,32
666,50,60
667,33,21
668,7,11
669,40,41
670,0,67
671,5,58
672,34,11
673,16,87
674,7,11
675,7,11
676,7,11
677,63,78
678,7,11
679,63,78
680,7,11
681,7,11
682,60,46
683,16,87
684,50,90
685,7,11
686,7,11
687,50,90
688,7,11
689,7,11
690,7,11
691,16,32
692,50,90
693,0,67
694,0,67
695,50,60
696,0,67
697,50,90
698,0,67
699,16,32
700,50,60
701,0,67
702,33,21
703,0,67
704,34,11
705,0,67
706,60,46
707,50,90
708,72,77
709,33,21
710,7,11
711,0,67
712,72,77
713,72,77
714,50,90
715,7,11
716,72,77
717,0,67
718,63,78
719,72,77
720,7,11
721,16,87
722,0,67
723,7,11
724,5,58
725,5,58
726,7,11
727,60,46
728,50,90
729,71,59
730,0,67
731,7,11
732,0,67
733,72,77
734,60,46
735,0,67
736,0,67
737,34,11
738,7,11
739,50,90
740,34,11
741,50,60
742,50,90
743,77,72
744,50,90
745,47,91
746,50,60
747,33,21
748,60,46
749,63,78
750,63,78
751,72,77
752,0,67
753,60,46
754,16,87
755,71,59
756,50,90
757,63,78
758,0,67
759,50,60
760,71,59
761,72,77
762,4,91
763,0,67
764,16,87
765,0,67
766,50,60
767,71,59
768,60,46
769,60,46
770,34,11
771,5,58
772,0,67
773,60,46
774,33,21
775,60,46
776,7,11
777,16,32
778,16,32
779,34,11
780,0,67
781,71,59
782,77,72
783,0,67
784,16,32
785,60,46
786,14,97
787,5,58
788,7,11
789,7,11
790,63,78
791,50,60
792,40,41
793,0,67
794,0,67
795,71,59
796,71,59
797,50,90
798,0,67
799,14,97
800,63,78
801,16,87
802,71,59
803,34,11
804,34,11
805,16,32
806,34,11
807,0,67
808,16,32
809,0,67
810,16,32
811,7,11
812,50,90
813,33,21
814,0,67
815,0,67
816,34,11
817,50,60
818,0,67
819,34,11
820,50,90
821,77,72
822,34,11
823,34,11
824,34,11
825,34,11
826,33,21
827,50,60
828,72,77
829,71,59
830,33,21
831,0,67
832,0,67
833,7,11
834,40,41
835,49,39
836,7,11
837,34,11
838,34,11
839,0,67
840,50,60
841,50,60
842,77,72
843,77,72
844,71,59
845,34,11
846,50,60
847,71,59
848,5,58
849,71,59
850,14,97
851,77,72
852,60,46
853,33,21
854,50,60
855,7,11
856,50,90
857,0,67
858,5,58
859,33,21
860,33,21
861,63,78
862,63,78
863,63,78
864,0,67
865,71,59
866,0,67
867,40,41
868,40,41
869,7,11
870,71,59
871,50,60
872,34,11
873,47,91
874,7,11
875,40,41
876,63,78
877,7,11
878,50,90
879,72,77
880,34,11
881,7,11
882,34,11
883,63,78
884,7,11
885,71,59
886,34,11
887,50,90
888,71,59
889,40,41
890,56,17
891,7,11
892,0,67
893,77,72
894,34,11
895,34,11
896,71,59
897,0,67
898,7,11
899,34,11
900,34,11
901,14,97
902,50,60
903,0,67
904,50,60
905,0,67
906,7,11
907,0,67
908,14,97
909,14,97
910,71,59
911,50,90
912,0,67
913,16,32
914,0,67
915,50,60
916,72,77
917,7,11
918,5,58
919,34,11
920,71,59
921,16,32
922,16,32
923,34,11
924,34,11
925,50,90
926,5,58
927,94,63
928,50,60
929,7,11
930,0,67
931,50,90
932,50,90
933,47,91
934,0,67
935,14,97
936,5,58
937,14,97
938,14,97
939,16,32
940,34,11
941,94,63
942,0,67
943,7,11
944,50,60
945,16,32
946,50,60
947,50,60
948,50,60
949,34,11
950,50,90
951,7,11
952,14,97
953,7,11
954,14,97
955,50,60
956,7,11
957,50,60
958,14,97
959,50,60
960,7,11
961,16,32
962,63,78
963,7,11
964,72,77
965,7,11
966,71,59
967,34,11
968,77,72
969,34,11
970,40,41
971,50,60
972,50,60
973,7,11
974,34,11
975,7,11
976,33,21
977,0,67
978,47,91
979,50,60
980,7,11
981,63,78
982,7,11
983,34,11
984,63,78
985,34,11
986,7,11
987,50,60
988,50,60
989,33,21
990,50,60
991,50,90
992,34,11
993,33,21
994,7,11
995,34,11
996,7,11
997,16,87
998,0,67
999,71,59
1000,7,11
1001,50,60
1002,14,97
1003,7,11
1004,34,11
1005,7,11
1006,50,60
1007,34,11
1008,34,11
1009,34,11
1010,0,67
1011,34,11
1012,0,67
1013,7,11
1014,63,78
1015,16,32
1016,0,67
1017,0,67
1018,50,90
1019,7,11
1020,5,58
1021,0,67
1022,7,11
1023,7,11
1024,60,46
1025,71,59
1026,5,58
1027,34,11
1028,50,60
1029,0,67
1030,50,90
1031,40,41
1032,0,67
1033,0,67
1034,50,60
1035,47,91
1036,0,67
1037,0,67
1038,0,67
1039,34,11
1040,50,90
1041,77,72
1042,4,91
1043,71,59
1044,63,78
1045,0,67
1046,71,59
1047,72,77
1048,50,60
1049,34,11
1050,50,60
1051,77,72
1052,0,67
1053,63,78
1054,50,60
1055,47,91
1056,72,77
1057,7,11
1058,60,46
1059,60,46
1060,63,78
1061,7,11
1062,0,67
1063,50,90
1064,50,60
1065,0,67
1066,47,91
1067,40,41
1068,0,67
1069,7,11
1070,63,78
1071,50,90
1072,50,90
1073,7,11
1074,0,67
1075,63,78
1076,50,90
1077,63,78
1078,0,67
1079,7,11
1080,63,78
1081,50,90
1082,34,11
1083,34,11
1084,7,11
1085,50,60
1086,7,11
1087,0,67
1088,7,11
1089,63,78
1090,50,60
1091,14,97
1092,71,59
1093,34,11
1094,7,11
1095,77,72
1096,7,11
1097,47,91
1098,50,90
1099,33,21
1100,7,11
1101,50,60
1102,72,77
1103,77,72
1104,0,67
1105,0,67
1106,0,67
1107,94,63
1108,7,11
1109,0,67
1110,77,72
1111,50,60
1112,50,90
1113,7,11
1114,5,58
1115,7,11
1116,7,11
1117,0,67
1118,7,11
1119,7,11
1120,47,91
1121,62,78
1122,0,67
1123,50,60
1124,63,78
1125,16,87
1126,63,78
1127,34,11
1128,40,41
1129,16,87
1130,50,90
1131,0,67
1132,50,90
1133,7,11
1134,16,32
1135,72,77
1136,0,67
1137,7,11
1138,34,11
1139,77,72
1140,5,58
1141,0,67
1142,0,67
1143,34,11
1144,63,78
1145,14,97
1146,7,11
1147,0,67
1148,71,59
1149,14,97
1150,77,72
1151,77,72
1152,0,67
1153,40,41
1154,63,78
1155,0,67
1156,62,78
1157,62,78
1158,7,11
1159,0,67
1160,72,77
1161,0,67
1162,47,91
1163,33,21
1164,50,90
1165,47,91
1166,0,67
1167,50,60
1168,72,77
1169,0,67
1170,0,67
1171,0,67
1172,50,90
1173,94,63
1174,50,60
1175,0,67
1176,50,90
1177,50,60
1178,7,11
1179,0,67
1180,0,67
1181,50,60
1182,47,91
1183,0,67
1184,7,11
1185,50,60
1186,50,60
1187,0,67
1188,14,97
1189,5,58
1190,7,11
1191,71,59
1192,7,11
1193,60,46
1194,60,46
1195,7,11
1196,14,97
1197,7,11
1198,77,72
1199,50,60
1200,63,78
1201,0,67
1202,16,32
1203,0,67
1204,34,11
1205,7,11
1206,0,67
1207,71,59
1208,16,32
1209,63,78
1210,50,60
1211,34,11
1212,7,11
1213,34,11
1214,50,60
1215,71,59
1216,0,67
1217,0,67
1218,63,78
1219,50,90
1220,50,60
1221,72,77
1222,50,60
1223,0,67
1224,50,90
1225,0,67
1226,63,78
1227,50,60
1228,72,77
1229,63,78
1230,0,67
1231,50,90
1232,72,77
1233,50,60
1234,50,60
1235,33,21
1236,60,46
1237,72,77
1238,34,11
1239,34,11
1240,72,77
1241,60,46
1242,0,67
1243,16,32
1244,50,60
1245,50,60
1246,50,60
1247,99,67
1248,14,97
1249,0,67
1250,71,59
1251,63,78
1252,71,59
1253,7,11
1254,16,87
1255,7,11
1256,34,11
1257,63,78
1258,5,58
1259,16,87
1260,77,72
1261,0,67
1262,7,11
1263,34,11
1264,60,46
1265,77,72
1266,7,11
1267,34,11
1268,72,77
1269,0,67
1270,50,60
1271,71,59
1272,49,39
1273,0,67
1274,7,11
1275,7,11
1276,7,11
1277,34,11
1278,14,97
1279,0,67
1280,0,67
1281,5,58
1282,77,72
1283,50,60
1284,40,41
1285,14,97
1286,50,60
1287,77,72
1288,33,21
1289,16,32
1290,0,67
1291,50,60
1292,77,72
1293,16,87
1294,94,63
1295,47,91
1296,0,67
1297,7,11
1298,60,46
1299,0,67
1300,7,11
1301,0,67
1302,40,41
1303,34,11
1304,0,67
1305,77,72
1306,50,60
1307,5,58
1308,5,46
1309,0,67
1310,71,59
1311,50,60
1312,60,46
1313,60,46
1314,60,46
1315,60,46
1316,50,90
1317,50,90
1318,0,67
1319,71,59
1320,7,11
1321,34,11
1322,72,77
1323,0,67
1324,77,72
1325,16,32
1326,0,67
1327,0,67
1328,0,67
1329,50,60
1330,50,90
1331,16,32
1332,77,72
1333,34,11
1334,50,90
1335,0,67
1336,34,11
1337,60,46
1338,33,21
1339,72,77
1340,5,58
1341,34,11
1342,50,60
1343,50,90
1344,77,72
1345,72,77
1346,4,91
1347,34,11
1348,50,90
1349,7,11
1350,0,67
1351,77,72
1352,0,67
1353,47,91
1354,0,67
1355,7,11
1356,63,78
1357,4,91
1358,63,78
1359,16,32
1360,0,67
1361,60,46
1362,7,11
1363,7,11
1364,7,11
1365,7,11
1366,34,11
1367,34,11
1368,34,11
1369,34,11
1370,0,67
1371,7,11
1372,34,11
1373,50,60
1374,50,60
1375,63,78
1376,50,60
1377,50,90
1378,34,11
1379,77,72
1380,34,11
1381,16,87
1382,71,59
1383,14,97
1384,34,11
1385,71,59
1386,71,59
1387,33,21
1388,16,32
1389,33,21
1390,33,21
1391,77,72
1392,33,21
1393,72,77
1394,72,77
1395,40,41
1396,50,60
1397,47,91
1398,34,11
1399,40,41
1400,47,91
1401,50,90
1402,63,78
1403,0,67
1404,77,72
1405,0,67
1406,34,11
1407,0,67
1408,77,72
1409,77,72
1410,34,11
1411,63,78
1412,50,60
1413,77,72
1414,16,32
1415,50,90
1416,7,11
1417,71,59
1418,0,67
1419,7,11
1420,47,91
1421,34,11
1422,63,78
1423,0,67
1424,34,11
1425,72,77
1426,7,11
1427,0,67
1428,50,90
1429,33,21
1430,5,58
1431,14,97
1432,16,32
1433,50,60
1434,72,77
1435,71,59
1436,16,87
1437,34,11
1438,72,77
1439,34,11
1440,77,72
1441,71,59
1442,72,77
1443,71,59
1444,72,77
1445,7,11
1446,34,11
1447,16,87
1448,50,90
1449,34,11
1450,50,60
1451,72,77
1452,0,67
1453,77,72
1454,0,67
1455,0,67
1456,50,90
1457,33,21
1458,34,11
1459,5,58
1460,50,90
1461,14,97
1462,63,78
1463,34,11
1464,0,67
1465,34,11
1466,50,60
1467,50,60
1468,94,63
1469,50,90
1470,77,72
1471,0,67
1472,77,72
1473,16,32
1474,34,11
1475,34,11
1476,34,11
1477,0,67
1478,16,32
1479,72,77
1480,50,60
1481,71,59
1482,16,87
1483,16,32
1484,63,78
1485,0,67
1486,34,11
1487,0,67
1488,34,11
1489,34,11
1490,50,60
1491,72,77
1492,16,32
1493,50,60
1494,71,59
1495,50,60
1496,34,11
1497,71,59
1498,34,11
1499,4,91
1500,63,78
1501,7,11
1502,63,78
1503,34,11
1504,7,11
1505,16,32
1506,7,11
1507,0,67
1508,0,67
1509,60,46
1510,34,11
1511,50,60
1512,50,90
1513,7,11
1514,72,77
1515,72,77
1516,77,72
1517,62,78
1518,7,11
1519,0,67
1520,34,11
1521,34,11
1522,0,67
1523,7,11
1524,0,67
1525,0,67
1526,77,72
1527,50,60
1528,50,60
1529,7,11
1530,50,90
1531,50,90
1532,33,21
1533,71,59
1534,7,11
1535,0,67
1536,7,11
1537,0,67
1538,50,60
1539,0,67
1540,71,59
1541,0,67
1542,0,67
1543,5,58
1544,50,60
1545,16,32
1546,7,11
1547,7,11
1548,60,46
1549,63,78
1550,14,97
1551,0,67
1552,0,67
1553,50,90
1554,0,67
1555,5,58
1556,14,97
1557,7,11
1558,50,60
1559,7,11
1560,5,58
1561,60,46
1562,34,11
1563,50,60
1564,77,72
1565,34,11
1566,71,59
1567,34,11
1568,71,59
1569,7,11
1570,47,91
1571,16,87
1572,0,67
1573,50,90
1574,77,72
1575,63,78
1576,40,41
1577,63,78
1578,63,78
1579,0,67
1580,71,59
1581,0,67
1582,14,97
1583,16,32
1584,71,59
1585,7,11
1586,0,67
1587,0,67
1588,71,59
1589,60,46
1590,0,67
1591,50,60
1592,50,60
1593,50,90
1594,5,58
1595,63,78
1596,0,67
1597,0,67
1598,7,11
1599,67,15
1600,40,41
1601,0,67
1602,60,46
1603,63,78
1604,50,90
1605,50,90
1606,33,21
1607,0,67
1608,14,97
1609,14,97
1610,0,67
1611,7,11
1612,16,87
1613,50,90
1614,50,90
1615,7,11
1616,7,11
1617,71,59
1618,33,21
1619,33,21
1620,50,90
1621,72,77
1622,60,46
1623,0,67
1624,0,67
1625,7,11
1626,50,90
1627,34,11
1628,7,11
1629,7,11
1630,0,67
1631,7,11
1632,34,11
1633,71,59
1634,0,67
1635,60,46
1636,50,60
1637,49,39
1638,50,90
1639,50,90
1640,4,91
1641,50,60
1642,0,67
1643,50,60
1644,34,11
1645,34,11
1646,47,91
1647,77,72
1648,72,77
1649,50,60
1650,72,77
1651,34,11
1652,50,60
1653,50,60
1654,0,67
1655,34,11
1656,71,59
1657,49,39
1658,50,60
1659,7,11
1660,5,58
1661,7,11
1662,33,21
1663,60,46
1664,63,78
1665,50,60
1666,7,11
1667,47,91
1668,7,11
1669,0,67
1670,72,77
1671,40,41
1672,34,11
1673,0,67
1674,47,91
1675,34,11
1676,63,78
1677,50,60
1678,0,67
1679,50,60
1680,63,78
1681,72,77
1682,63,78
1683,50,60
1684,0,67
1685,77,72
1686,16,32
1687,16,32
1688,34,11
1689,34,11
1690,34,11
1691,72,77
1692,0,67
1693,7,11
1694,34,11
1695,7,11
1696,7,11
1697,60,46
1698,60,46
1699,63,78
1700,33,21
1701,7,11
1702,7,11
1703,71,59
1704,14,97
1705,34,11
1706,50,90
1707,7,11
1708,7,11
1709,14,97
1710,7,11
1711,7,11
1712,50,90
1713,16,87
1714,71,59
1715,63,78
1716,0,67
1717,0,67
1718,77,72
1719,99,67
1720,0,67
1721,0,67
1722,0,67
1723,34,11
1724,50,60
1725,50,60
1726,60,46
1727,77,72
1728,7,11
1729,16,32
1730,77,72
1731,77,72
1732,0,67
1733,50,60
1734,34,11
1735,0,67
1736,67,15
1737,0,67
1738,50,90
1739,7,11
1740,34,11
1741,0,67
1742,7,11
1743,72,77
1744,50,60
1745,7,11
1746,7,11
1747,7,11
1748,60,46
1749,50,90
1750,34,11
1751,34,11
1752,71,59
1753,16,32
1754,34,11
1755,0,67
1756,0,67
1757,7,11
1758,7,11
1759,50,90
1760,50,60
1761,60,46
1762,60,46
1763,50,90
1764,60,46
1765,50,60
1766,72,77
1767,77,72
1768,77,72
1769,50,60
1770,16,32
1771,7,11
1772,34,11
1773,50,60
1774,47,91
1775,71,59
1776,62,78
1777,14,97
1778,77,72
1779,63,78
1780,63,78
1781,77,72
1782,77,72
1783,0,67
1784,71,59
1785,7,11
1786,34,11
1787,71,59
1788,14,97
1789,49,39
1790,50,90
1791,16,32
1792,14,97
1793,16,87
1794,7,11
1795,7,11
1796,50,90
1797,72,77
1798,34,11
1799,50,60
1800,0,67
1801,50,60
1802,50,60
1803,0,67
1804,34,11
1805,50,60
1806,34,11
1807,0,67
1808,0,67
1809,50,60
1810,14,97
1811,33,21
1812,7,11
1813,0,67
1814,7,11
1815,34,11
1816,34,11
1817,0,67
1818,0,67
1819,63,78
1820,7,11
1821,40,41
1822,16,32
1823,40,41
1824,16,32
1825,50,60
1826,77,72
1827,94,63
1828,7,11
1829,67,15
1830,72,77
1831,63,78
1832,0,67
1833,0,67
1834,60,46
1835,50,60
1836,7,11
1837,34,11
1838,0,67
1839,63,78
1840,5,46
1841,16,32
1842,72,77
1843,71,59
1844,72,77
1845,5,58
1846,50,90
1847,77,72
1848,16,87
1849,50,90
1850,62,78
1851,34,11
1852,99,67
1853,72,77
1854,34,11
1855,7,11
1856,16,87
1857,14,97
1858,77,72
1859,0,67
1860,16,32
1861,0,67
1862,16,32
1863,34,11
1864,50,60
1865,63,78
1866,50,90
1867,34,11
1868,34,11
1869,7,11
1870,0,67
1871,34,11
1872,14,97
1873,40,41
1874,7,11
1875,72,77
1876,0,67
1877,7,11
1878,0,67
1879,7,11
1880,40,41
1881,77,72
1882,50,60
1883,50,90
1884,34,11
1885,0,67
1886,77,72
1887,16,32
1888,50,60
1889,0,67
1890,40,41
1891,34,11
1892,50,90
1893,63,78
1894,50,60
1895,60,46
1896,16,32
1897,71,59
1898,34,11
1899,50,90
1900,60,46
1901,77,72
1902,60,46
1903,60,46
1904,60,46
1905,60,46
1906,77,72
1907,60,46
1908,77,72
1909,77,72
1910,50,60
1911,7,11
1912,71,59
1913,7,11
1914,50,60
1915,0,67
1916,0,67
1917,14,97
1918,34,11
1919,72,77
1920,71,59
1921,0,67
1922,34,11
1923,0,67
1924,50,60
1925,34,11
1926,50,90
1927,5,58
1928,7,11
1929,7,11
1930,50,60
1931,50,60
1932,72,77
1933,47,91
1934,33,21
1935,72,77
1936,33,21
1937,50,60
1938,40,41
1939,16,32
1940,50,90
1941,72,77
1942,16,32
1943,34,11
1944,34,11
1945,0,67
1946,7,11
1947,63,78
1948,14,97
1949,7,11
1950,7,11
1951,7,11
1952,63,78
1953,7,11
1954,63,78
1955,60,46
1956,7,11
1957,50,60
1958,50,60
1959,77,72
1960,50,60
1961,71,59
1962,7,11
1963,72,77
1964,33,21
1965,47,91
1966,72,77
1967,71,59
1968,0,67
1969,0,67
1970,60,46
1971,63,78
1972,60,46
1973,34,11
1974,7,11
1975,16,32
1976,16,32
1977,77,72
1978,50,90
1979,63,78
1980,0,67
1981,50,60
1982,71,59
1983,0,67
1984,63,78
1985,50,90
1986,34,11
1987,7,11
1988,47,91
1989,34,11
1990,5,58
1991,33,21
1992,34,11
1993,94,63
1994,0,67
1995,33,21
1996,63,78
1997,7,11
1998,14,97
1999,63,78
2000,33,21
2001,60,46
2002,63,78
2003,60,46
2004,5,46
2005,60,46
2006,7,11
2007,34,11
2008,7,11
2009,77,72
2010,0,67
2011,63,78
2012,60,46
2013,50,60
2014,14,97
2015,71,59
2016,33,21
2017,34,11
2018,7,11
2019,16,87
2020,94,63
2021,47,91
2022,0,67
2023,77,72
2024,7,11
2025,34,11
2026,14,97
2027,50,90
2028,0,67
2029,60,46
2030,0,67
2031,47,91
2032,72,77
2033,7,11
2034,7,11
2035,60,46
2036,72,77
2037,63,78
2038,7,11
2039,77,72
2040,77,72
2041,7,11
2042,0,67
2043,34,11
2044,0,67
2045,34,11
2046,0,67
2047,56,17
2048,34,11
2049,7,11
2050,71,59
2051,16,32
2052,0,67
2053,33,21
2054,0,67
2055,63,78
2056,7,11
2057,50,90
2058,62,78
2059,47,91
2060,14,97
2061,33,21
2062,50,60
2063,77,72
2064,7,11
2065,50,60
2066,7,11
2067,34,11
2068,50,60
2069,0,67
2070,77,72
2071,72,77
2072,16,32
2073,60,46
2074,72,77
2075,34,11
2076,7,11
2077,0,67
2078,34,11
2079,0,67
2080,50,90
2081,0,67
2082,50,60
2083,5,58
2084,33,21
2085,7,11
2086,50,60
2087,5,58
2088,16,32
2089,4,91
2090,0,67
2091,77,72
2092,71,59
2093,7,11
2094,7,11
2095,7,11
2096,34,11
2097,0,67
2098,34,11
2099,7,11
2100,7,11
2101,7,11
2102,16,32
2103,72,77
2104,71,59
2105,16,32
2106,40,41
2107,40,41
2108,0,67
2109,71,59
2110,0,67
2111,60,46
2112,16,32
2113,60,46
2114,16,32
2115,16,32
2116,34,11
2117,50,60
2118,72,77
2119,50,60
2120,14,97
2121,50,60
2122,34,11
2123,50,60
2124,50,90
2125,60,46
2126,50,60
2127,77,72
2128,50,90
2129,33,21
2130,71,59
2131,50,60
2132,7,11
2133,34,11
2134,40,41
2135,50,60
2136,50,60
2137,71,59
2138,63,78
2139,0,67
2140,63,78
